experiment,mean_accuracy,mean_precision,mean_recall,mean_f1,std_f1
clear_global_total_kfold,78.11,75.20356756871708,68.91798186881631,69.28412873691339,9.757238714048045
clear_global_arm_kfold,78.5,70.55877446536917,70.73937872010421,69.58569631833083,7.319096913474069
clear_global_leg_kfold,69.47,59.53716313833921,59.35729553389679,57.649870486247146,8.740371884744516
drive_global_total_kfold,89.59,86.76492187781794,80.8451878195892,81.54857973515541,7.330988668067928
drive_global_arm_kfold,85.42,79.18175110631667,73.97443395365494,74.32775472652555,11.05073855795996
drive_global_leg_kfold,81.04,77.27082163403296,67.73461796683733,68.84619544642663,4.735932344902719
