experiment,mean_accuracy,mean_precision,mean_recall,mean_f1,std_f1
Clear_Total,85.97,86.32413328823691,85.11716260468674,85.47964490180273,2.9605825122149545
clear_global_arm_kfold,87.44,88.11409476063652,87.18241174791318,87.51102596941314,2.1206821971648817
clear_global_leg_kfold,79.06,78.99367388045512,77.03385405099914,77.69669138156777,1.563551486732368
Drive_total,89.93,90.07905424366926,87.99746170543139,88.88996119796558,1.3649259010576922
drive_global_arm_kfold,90.88,91.19175660638493,90.12770666833856,90.52455452315245,1.6031889831282393
drive_global_leg_kfold,85.67,85.30372449980655,81.94931379359647,83.29640063793853,1.9866889036064255
