experiment,fold,class,precision,recall,f1_score
clear_global_total_kfold,0,0,0.9645390070921985,0.9645390070921985,0.9645390070921985
clear_global_total_kfold,0,1,0.9578313253012049,0.8641304347826086,0.9085714285714285
clear_global_total_kfold,0,2,0.9473684210526315,0.9183673469387755,0.9326424870466321
clear_global_total_kfold,0,3,0.8870967741935484,0.9482758620689655,0.9166666666666667
clear_global_total_kfold,0,4,0.9042553191489362,0.9883720930232558,0.9444444444444444
clear_global_total_kfold,0,5,1.0,0.9565217391304348,0.9777777777777777
clear_global_total_kfold,0,6,0.9128205128205128,0.9621621621621622,0.9368421052631579
clear_global_total_kfold,1,0,0.9294871794871795,0.8895705521472392,0.9090909090909092
clear_global_total_kfold,1,1,0.8947368421052632,0.9251700680272109,0.9096989966555183
clear_global_total_kfold,1,2,0.8556701030927835,0.9222222222222223,0.8877005347593583
clear_global_total_kfold,1,3,0.8484848484848485,0.8888888888888888,0.8682170542635659
clear_global_total_kfold,1,4,0.9230769230769231,0.9230769230769231,0.9230769230769231
clear_global_total_kfold,1,5,0.9615384615384616,0.8928571428571429,0.9259259259259259
clear_global_total_kfold,1,6,0.9627659574468085,0.9329896907216495,0.9476439790575917
clear_global_total_kfold,2,0,0.9,0.8940397350993378,0.8970099667774086
clear_global_total_kfold,2,1,0.9102564102564102,0.9102564102564102,0.9102564102564102
clear_global_total_kfold,2,2,0.8556701030927835,0.9222222222222223,0.8877005347593583
clear_global_total_kfold,2,3,0.9649122807017544,0.8870967741935484,0.9243697478991597
clear_global_total_kfold,2,4,0.9375,0.8737864077669902,0.9045226130653266
clear_global_total_kfold,2,5,0.9259259259259259,0.8333333333333334,0.8771929824561403
clear_global_total_kfold,2,6,0.8958333333333334,0.9398907103825137,0.9173333333333333
clear_global_total_kfold,3,0,0.9041916167664671,0.9320987654320988,0.9179331306990882
clear_global_total_kfold,3,1,0.8807947019867549,0.910958904109589,0.8956228956228957
clear_global_total_kfold,3,2,0.9387755102040817,0.8932038834951457,0.9154228855721394
clear_global_total_kfold,3,3,0.9215686274509803,0.8703703703703703,0.8952380952380952
clear_global_total_kfold,3,4,0.978494623655914,0.9680851063829787,0.9732620320855615
clear_global_total_kfold,3,5,0.96875,0.9117647058823529,0.9393939393939394
clear_global_total_kfold,3,6,0.9347826086956522,0.9398907103825137,0.9373297002724795
clear_global_total_kfold,4,0,0.9285714285714286,0.9397590361445783,0.9341317365269461
clear_global_total_kfold,4,1,0.9397590361445783,0.9341317365269461,0.9369369369369371
clear_global_total_kfold,4,2,0.875,0.9459459459459459,0.9090909090909091
clear_global_total_kfold,4,3,0.9375,0.8823529411764706,0.9090909090909091
clear_global_total_kfold,4,4,0.9772727272727273,0.9347826086956522,0.9555555555555557
clear_global_total_kfold,4,5,0.9473684210526315,0.8780487804878049,0.9113924050632912
clear_global_total_kfold,4,6,0.9418604651162791,0.9642857142857143,0.9529411764705882
clear_global_arm_kfold,0,0,0.9254658385093167,0.9197530864197531,0.9226006191950464
clear_global_arm_kfold,0,1,0.9320987654320988,0.9041916167664671,0.9179331306990882
clear_global_arm_kfold,0,2,0.9326923076923077,0.9509803921568627,0.9417475728155339
clear_global_arm_kfold,0,3,1.0,0.9180327868852459,0.9572649572649572
clear_global_arm_kfold,0,4,0.8947368421052632,0.9315068493150684,0.912751677852349
clear_global_arm_kfold,0,5,0.8666666666666667,0.9285714285714286,0.896551724137931
clear_global_arm_kfold,0,6,0.9516129032258065,0.9725274725274725,0.9619565217391304
clear_global_arm_kfold,1,0,0.9161290322580645,0.9594594594594594,0.9372937293729372
clear_global_arm_kfold,1,1,0.9132947976878613,0.9239766081871345,0.9186046511627907
clear_global_arm_kfold,1,2,0.9456521739130435,0.8969072164948454,0.9206349206349207
clear_global_arm_kfold,1,3,0.8448275862068966,0.8596491228070176,0.8521739130434783
clear_global_arm_kfold,1,4,0.9418604651162791,0.84375,0.8901098901098902
clear_global_arm_kfold,1,5,0.8378378378378378,0.8378378378378378,0.8378378378378378
clear_global_arm_kfold,1,6,0.9142857142857143,0.9411764705882353,0.9275362318840579
clear_global_arm_kfold,2,0,0.8132530120481928,0.9121621621621622,0.8598726114649682
clear_global_arm_kfold,2,1,0.7403314917127072,0.8220858895705522,0.7790697674418605
clear_global_arm_kfold,2,2,0.8166666666666667,0.6125,0.7000000000000001
clear_global_arm_kfold,2,3,0.9310344827586207,0.7714285714285715,0.8437500000000001
clear_global_arm_kfold,2,4,0.8073394495412844,0.88,0.8421052631578948
clear_global_arm_kfold,2,5,0.8333333333333334,0.8,0.816326530612245
clear_global_arm_kfold,2,6,0.8926553672316384,0.8359788359788359,0.8633879781420766
clear_global_arm_kfold,3,0,0.6973684210526315,0.6625,0.6794871794871794
clear_global_arm_kfold,3,1,0.7163120567375887,0.6778523489932886,0.6965517241379311
clear_global_arm_kfold,3,2,0.5542168674698795,0.5897435897435898,0.5714285714285715
clear_global_arm_kfold,3,3,0.7446808510638298,0.5555555555555556,0.6363636363636364
clear_global_arm_kfold,3,4,0.8421052631578947,0.8247422680412371,0.8333333333333333
clear_global_arm_kfold,3,5,0.7272727272727273,0.8205128205128205,0.7710843373493976
clear_global_arm_kfold,3,6,0.7616822429906542,0.8578947368421053,0.8069306930693069
clear_global_arm_kfold,4,0,0.9386503067484663,0.9272727272727272,0.9329268292682927
clear_global_arm_kfold,4,1,0.8926174496644296,0.8866666666666667,0.8896321070234113
clear_global_arm_kfold,4,2,0.9230769230769231,0.9795918367346939,0.9504950495049506
clear_global_arm_kfold,4,3,0.9629629629629629,0.9629629629629629,0.9629629629629629
clear_global_arm_kfold,4,4,0.9285714285714286,0.91,0.9191919191919193
clear_global_arm_kfold,4,5,0.9615384615384616,0.9259259259259259,0.9433962264150944
clear_global_arm_kfold,4,6,0.9395604395604396,0.9395604395604396,0.9395604395604396
clear_global_leg_kfold,0,0,0.85625,0.85625,0.85625
clear_global_leg_kfold,0,1,0.8224852071005917,0.896774193548387,0.8580246913580247
clear_global_leg_kfold,0,2,0.8316831683168316,0.8571428571428571,0.8442211055276382
clear_global_leg_kfold,0,3,1.0,0.7397260273972602,0.8503937007874016
clear_global_leg_kfold,0,4,0.9473684210526315,0.9,0.9230769230769231
clear_global_leg_kfold,0,5,0.9411764705882353,0.8421052631578947,0.8888888888888888
clear_global_leg_kfold,0,6,0.9116022099447514,0.9649122807017544,0.9375
clear_global_leg_kfold,1,0,0.8734177215189873,0.8571428571428571,0.8652037617554859
clear_global_leg_kfold,1,1,0.8571428571428571,0.8863636363636364,0.8715083798882681
clear_global_leg_kfold,1,2,0.8026315789473685,0.7721518987341772,0.7870967741935484
clear_global_leg_kfold,1,3,0.782608695652174,0.8852459016393442,0.8307692307692308
clear_global_leg_kfold,1,4,0.9130434782608695,0.9438202247191011,0.9281767955801105
clear_global_leg_kfold,1,5,0.7777777777777778,0.7241379310344828,0.75
clear_global_leg_kfold,1,6,0.9534883720930233,0.9060773480662984,0.9291784702549575
clear_global_leg_kfold,2,0,0.852112676056338,0.8581560283687943,0.8551236749116607
clear_global_leg_kfold,2,1,0.821917808219178,0.8571428571428571,0.8391608391608392
clear_global_leg_kfold,2,2,0.9090909090909091,0.8421052631578947,0.8743169398907102
clear_global_leg_kfold,2,3,0.8666666666666667,0.9454545454545454,0.9043478260869566
clear_global_leg_kfold,2,4,0.981651376146789,0.8770491803278688,0.9264069264069265
clear_global_leg_kfold,2,5,0.8518518518518519,0.8846153846153846,0.8679245283018868
clear_global_leg_kfold,2,6,0.9408866995073891,0.9744897959183674,0.9573934837092731
clear_global_leg_kfold,3,0,0.9078947368421053,0.8414634146341463,0.8734177215189874
clear_global_leg_kfold,3,1,0.8514285714285714,0.8869047619047619,0.8688046647230321
clear_global_leg_kfold,3,2,0.8252427184466019,0.9139784946236559,0.8673469387755103
clear_global_leg_kfold,3,3,0.8979591836734694,0.7586206896551724,0.822429906542056
clear_global_leg_kfold,3,4,0.8865979381443299,0.9247311827956989,0.9052631578947367
clear_global_leg_kfold,3,5,0.8461538461538461,0.88,0.8627450980392156
