experiment,mean_accuracy,mean_precision,mean_recall,mean_f1,std_f1
clear_global_total_kfold,92.32,92.61274141448285,91.83842553060627,92.1559032453102,1.3533723813822662
clear_global_arm_kfold,86.49,86.40683181742264,85.55216481705419,85.8081558219012,8.398423601013796
clear_global_leg_kfold,87.78,86.99623979486921,86.46683682858614,86.57971443233711,2.0286112696830605
drive_global_total_kfold,95.26,95.19539836270641,93.6104062401009,94.3043632390394,1.1901997999081817
drive_global_arm_kfold,92.32,92.14048775805992,90.98791861006237,91.47139768606164,1.6357064623843152
drive_global_leg_kfold,91.73,90.95987473189369,88.5276637791125,89.57658325285503,1.6025117690293804
