experiment,mean_accuracy,mean_precision,mean_recall,mean_f1,std_f1
clear_global_total_kfold,70.7,60.45204729725139,55.37817909561497,53.47148674098482,10.669597581381996
clear_global_arm_kfold,81.92,72.54652253369743,69.98106436436542,69.83698180438498,6.236012369445457
clear_global_leg_kfold,80.2,79.52763692407765,73.10938997602949,74.83306533464746,5.457611489924077
drive_global_total_kfold,68.82,53.73384324476134,45.8117199914095,46.03882404742253,9.944069861299155
drive_global_arm_kfold,75.86,59.307971992294824,55.21201432823617,54.05443036610704,7.4327260016582395
drive_global_leg_kfold,72.61,61.219671514645356,54.78980731327295,54.74772519756906,4.265836994595991
