experiment,mean_accuracy,mean_precision,mean_recall,mean_f1,std_f1
clear_global_total_kfold,48.63,39.14461898605307,38.089042701446054,35.50948146272167,15.483196776355543
clear_global_arm_kfold,76.33,71.63813732440454,70.35309488923284,70.53814253531164,10.31215882922187
clear_global_leg_kfold,54.61,56.193916075961866,48.509010550750176,46.541836815270074,27.488549604746364
drive_global_total_kfold,64.03,60.49377898830946,51.022504422360825,52.951274222986974,14.548724765616287
drive_global_arm_kfold,64.36,64.12580285454183,52.44492878283196,53.35827166450709,22.97564002116012
drive_global_leg_kfold,64.18,59.19440177856635,52.238827315666704,52.55346730908897,18.581479872941607
